F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.023551092
y: 0.04496407
z: 0.04571532
","x: -0.044926368
y: 0.032941442
z: 0.028444137
","x: -0.0693447
y: 0.016594704
z: -0.0027173383
","x: -0.092234455
y: 0.00095528923
z: -0.015329005
","x: -0.017006265
y: -0.009034886
z: -0.0011576334
","x: -0.02131004
y: -0.0393108
z: -0.0073209605
","x: -0.023539525
y: -0.057281002
z: -0.016277444
","x: -0.020275066
y: -0.076144695
z: -0.044163834
","x: -0.0006226626
y: -0.005121468
z: -0.0008468173
","x: 0.008404201
y: -0.026431756
z: -0.017416736
","x: 0.020380586
y: -0.03850021
z: -0.036970407
","x: 0.03205694
y: -0.053215582
z: -0.069147944
"
"x: -0.021499539
y: 0.04673604
z: 0.043177202
","x: -0.043570593
y: 0.034827005
z: 0.026409116
","x: -0.06848201
y: 0.019327786
z: -0.0066259787
","x: -0.091315925
y: 0.0056721643
z: -0.017885918
","x: -0.016123284
y: -0.008451986
z: -0.000747718
","x: -0.021142218
y: -0.038530204
z: -0.0056776977
","x: -0.022205492
y: -0.05737397
z: -0.014701905
","x: -0.019966438
y: -0.0753581
z: -0.041193843
","x: -0.00043786693
y: -0.004841484
z: -0.00074179075
","x: 0.00943795
y: -0.026824059
z: -0.016752863
","x: 0.022937354
y: -0.03792202
z: -0.035117816
","x: 0.035805453
y: -0.054706145
z: -0.064983845
"
"x: -0.019158283
y: 0.046386383
z: 0.04391747
","x: -0.042639334
y: 0.03680317
z: 0.025986115
","x: -0.067566976
y: 0.024204923
z: -0.009178217
","x: -0.090600476
y: 0.012200792
z: -0.023551242
","x: -0.016986474
y: -0.007831504
z: -0.0011357863
","x: -0.022132926
y: -0.03852977
z: -0.0057948944
","x: -0.022888495
y: -0.05795783
z: -0.014890814
","x: -0.019613143
y: -0.075742036
z: -0.039592486
","x: -0.0007765994
y: -0.0047678314
z: -0.00081260456
","x: 0.008780543
y: -0.027317837
z: -0.017828258
","x: 0.021951752
y: -0.038414095
z: -0.03764405
","x: 0.034959123
y: -0.055250976
z: -0.07004364
"
"x: -0.020191142
y: 0.044966392
z: 0.04311911
","x: -0.04316535
y: 0.037437174
z: 0.026184928
","x: -0.068456925
y: 0.027259914
z: -0.008066563
","x: -0.09292714
y: 0.017024038
z: -0.023368591
","x: -0.015319344
y: -0.007772858
z: -0.0013391407
","x: -0.021727527
y: -0.037556745
z: -0.005108561
","x: -0.024062304
y: -0.056687567
z: -0.015686281
","x: -0.021136096
y: -0.074133456
z: -0.04236378
","x: -0.00024374646
y: -0.0045739147
z: -0.0004450938
","x: 0.008727224
y: -0.027082153
z: -0.016920922
","x: 0.021911921
y: -0.038563143
z: -0.035930224
","x: 0.034308366
y: -0.055325158
z: -0.068169095
"
"x: -0.018109981
y: 0.046091948
z: 0.04365739
","x: -0.041294865
y: 0.03962793
z: 0.024534091
","x: -0.067564875
y: 0.030198721
z: -0.011593258
","x: -0.09304572
y: 0.021018207
z: -0.024652872
","x: -0.016589267
y: -0.007859996
z: -0.0021960407
","x: -0.023234844
y: -0.038096756
z: -0.0065244297
","x: -0.024593
y: -0.057918414
z: -0.016571496
","x: -0.021595769
y: -0.07548659
z: -0.041130204
","x: -0.0006210549
y: -0.004195275
z: -0.0007795708
","x: 0.009157781
y: -0.02909355
z: -0.016733292
","x: 0.023440639
y: -0.04222079
z: -0.035592567
","x: 0.035333138
y: -0.058971412
z: -0.06616055
"
"x: -0.02109517
y: 0.039181072
z: 0.048657175
","x: -0.042943515
y: 0.033356577
z: 0.028981725
","x: -0.065023445
y: 0.024930937
z: -0.008178665
","x: -0.08770586
y: 0.015894137
z: -0.026691679
","x: -0.01574042
y: -0.0069471193
z: -0.002236916
","x: -0.022293888
y: -0.035316475
z: -0.007721323
","x: -0.02384389
y: -0.05441149
z: -0.017858006
","x: -0.020321766
y: -0.07195298
z: -0.044733416
","x: -0.00033458968
y: -0.003911968
z: -0.0010193317
","x: 0.011192866
y: -0.025047751
z: -0.016009169
","x: 0.026043119
y: -0.037905544
z: -0.03820749
","x: 0.04008965
y: -0.051591165
z: -0.07409952
"
"x: -0.022320334
y: 0.039735235
z: 0.048898116
","x: -0.043330185
y: 0.032307036
z: 0.029350743
","x: -0.06552094
y: 0.022479963
z: -0.008498792
","x: -0.08772622
y: 0.012687123
z: -0.02422174
","x: -0.014976609
y: -0.0076538804
z: -0.0030194088
","x: -0.020256927
y: -0.035302095
z: -0.010557955
","x: -0.022099419
y: -0.05393026
z: -0.021115465
","x: -0.01938624
y: -0.06891748
z: -0.050505344
","x: -0.00039535385
y: -0.0044116583
z: -0.0011591929
","x: 0.012313569
y: -0.024913777
z: -0.016896337
","x: 0.028198399
y: -0.038028684
z: -0.038958132
","x: 0.043363996
y: -0.050975725
z: -0.07741377
"
"x: -0.022595387
y: 0.039779343
z: 0.04958251
","x: -0.043587707
y: 0.03142549
z: 0.031016564
","x: -0.06520312
y: 0.019558312
z: -0.0077115195
","x: -0.08745058
y: 0.008644253
z: -0.022805573
","x: -0.014384235
y: -0.008449519
z: -0.003009585
","x: -0.01931181
y: -0.038409848
z: -0.010042048
","x: -0.020721778
y: -0.054685596
z: -0.020536443
","x: -0.018484516
y: -0.0712712
z: -0.049784724
","x: -0.00038762903
y: -0.0046846163
z: -0.0013356381
","x: 0.013334194
y: -0.02586827
z: -0.016063662
","x: 0.030265398
y: -0.03910374
z: -0.036630858
","x: 0.046942297
y: -0.051281765
z: -0.076273076
"
"x: -0.023694173
y: 0.038194105
z: 0.049874637
","x: -0.044684436
y: 0.030073743
z: 0.030617366
","x: -0.06436084
y: 0.015996983
z: -0.00778835
","x: -0.08716156
y: 0.0032971138
z: -0.024510335
","x: -0.014848198
y: -0.008676536
z: -0.003644386
","x: -0.018746737
y: -0.0378613
z: -0.01043289
","x: -0.018948149
y: -0.05410567
z: -0.021435872
","x: -0.0145351775
y: -0.07114547
z: -0.050295662
","x: -0.0002764546
y: -0.0043480163
z: -0.0011769411
","x: 0.013848126
y: -0.023873985
z: -0.018250134
","x: 0.030767351
y: -0.034912214
z: -0.043329243
","x: 0.046714798
y: -0.045543782
z: -0.087166615
"
"x: -0.02500064
y: 0.03555675
z: 0.051725652
","x: -0.044913244
y: 0.02611317
z: 0.033042207
","x: -0.06393984
y: 0.012325094
z: -0.0057765194
","x: -0.08703235
y: -0.0018702056
z: -0.022415975
","x: -0.013999243
y: -0.009847247
z: -0.004261179
","x: -0.016842403
y: -0.038754415
z: -0.011275116
","x: -0.017588217
y: -0.054326214
z: -0.022125164
","x: -0.014189276
y: -0.07017991
z: -0.052339267
","x: -0.0001943158
y: -0.004433285
z: -0.0016102268
","x: 0.013374339
y: -0.023185028
z: -0.01897259
","x: 0.030276036
y: -0.034586906
z: -0.042884503
","x: 0.04795324
y: -0.044262882
z: -0.08622076
"
"x: -0.02460485
y: 0.034495465
z: 0.052897856
","x: -0.04385135
y: 0.025083683
z: 0.03446957
","x: -0.06274345
y: 0.009811725
z: -0.0041744066
","x: -0.08563073
y: -0.0060638944
z: -0.020220453
","x: -0.013736219
y: -0.01017027
z: -0.0037334778
","x: -0.0166037
y: -0.040407386
z: -0.010653337
","x: -0.016681872
y: -0.05598128
z: -0.022324437
","x: -0.014024143
y: -0.070606664
z: -0.05352598
","x: -0.00012881507
y: -0.0051121446
z: -0.0016157832
","x: 0.01356503
y: -0.023099404
z: -0.017991507
","x: 0.029741555
y: -0.03395115
z: -0.043347597
","x: 0.046425253
y: -0.040983804
z: -0.086542286
"
"x: -0.02588203
y: 0.034302037
z: 0.0487891
","x: -0.046468843
y: 0.025147747
z: 0.030005833
","x: -0.064286694
y: 0.008747138
z: -0.0068774596
","x: -0.08710211
y: -0.006304251
z: -0.02335328
","x: -0.014412057
y: -0.0101168
z: -0.004931826
","x: -0.016859474
y: -0.03862514
z: -0.011266563
","x: -0.016587675
y: -0.053005945
z: -0.021680843
","x: -0.013257588
y: -0.067971624
z: -0.053053495
","x: -4.398724e-05
y: -0.004730542
z: -0.0011372486
","x: 0.015191729
y: -0.020005193
z: -0.01806245
","x: 0.031675678
y: -0.030445177
z: -0.043956604
","x: 0.048730273
y: -0.033814013
z: -0.08763608
"
"x: -0.02711035
y: 0.033297516
z: 0.049335383
","x: -0.045992408
y: 0.024065014
z: 0.031940248
","x: -0.063343264
y: 0.0058667045
z: -0.0048885285
","x: -0.08667599
y: -0.008593074
z: -0.023051513
","x: -0.013836327
y: -0.011010793
z: -0.004391271
","x: -0.015502129
y: -0.041589435
z: -0.010656207
","x: -0.015396273
y: -0.05471602
z: -0.022070864
","x: -0.012035346
y: -0.06971859
z: -0.05332293
","x: -6.180501e-05
y: -0.005076875
z: -0.0015128104
","x: 0.013919447
y: -0.021475855
z: -0.017361477
","x: 0.029731944
y: -0.032408267
z: -0.042825848
","x: 0.04676767
y: -0.034497604
z: -0.08593713
"
"x: -0.02695271
y: 0.034135465
z: 0.04847783
","x: -0.046511054
y: 0.022482287
z: 0.03126833
","x: -0.06344765
y: 0.0026346054
z: -0.004980623
","x: -0.08585928
y: -0.0139053045
z: -0.023540424
","x: -0.013368204
y: -0.01261283
z: -0.0046130754
","x: -0.014644821
y: -0.043442193
z: -0.01007237
","x: -0.0139793735
y: -0.057409387
z: -0.02081241
","x: -0.008208431
y: -0.07249454
z: -0.05114385
","x: 0.00016560755
y: -0.0051431186
z: -0.0013846578
","x: 0.013919421
y: -0.021962937
z: -0.017387725
","x: 0.028638132
y: -0.032132447
z: -0.042665787
","x: 0.046300177
y: -0.033186343
z: -0.08604824
"
"x: -0.026944408
y: 0.03327042
z: 0.050565846
","x: -0.047092617
y: 0.023157962
z: 0.033570696
","x: -0.06407343
y: 0.005494208
z: -0.0033487948
","x: -0.086922124
y: -0.009799142
z: -0.021104816
","x: -0.015014178
y: -0.01065659
z: -0.0041411407
","x: -0.014946842
y: -0.0402019
z: -0.010358828
","x: -0.013758911
y: -0.055821206
z: -0.021625921
","x: -0.008072926
y: -0.07142498
z: -0.052965857
","x: -6.84954e-05
y: -0.0041124076
z: -0.0013809423
","x: 0.013199542
y: -0.020131066
z: -0.019461079
","x: 0.028937768
y: -0.030843545
z: -0.04584518
","x: 0.04510074
y: -0.032274492
z: -0.0902982
"
"x: -0.026726201
y: 0.033093367
z: 0.050626688
","x: -0.04711371
y: 0.023808513
z: 0.032044232
","x: -0.06474749
y: 0.0070337467
z: -0.006318827
","x: -0.08823042
y: -0.007916279
z: -0.024045013
","x: -0.014262592
y: -0.01087427
z: -0.004180614
","x: -0.015419601
y: -0.041424517
z: -0.010116901
","x: -0.013754066
y: -0.056646667
z: -0.02223213
","x: -0.00904781
y: -0.07165201
z: -0.052408177
","x: 8.8165165e-05
y: -0.004443186
z: -0.0013150934
","x: 0.0132605955
y: -0.020949164
z: -0.018753653
","x: 0.02885221
y: -0.031587478
z: -0.045270786
","x: 0.04493177
y: -0.035371173
z: -0.08677922
"
"x: -0.022745632
y: 0.03547551
z: 0.05774661
","x: -0.044405047
y: 0.025015304
z: 0.03813852
","x: -0.06681002
y: 0.01090799
z: -0.002074547
","x: -0.08943534
y: -0.0037846249
z: -0.021863904
","x: -0.015363661
y: -0.011940092
z: -0.0022557788
","x: -0.016367095
y: -0.04257952
z: -0.010102706
","x: -0.016130218
y: -0.05950474
z: -0.021631012
","x: -0.011065971
y: -0.07471223
z: -0.049945675
","x: -0.0002712924
y: -0.0050640423
z: -0.0015297304
","x: 0.0133688655
y: -0.024156421
z: -0.0205015
","x: 0.027662259
y: -0.033829246
z: -0.044742744
","x: 0.044194274
y: -0.039983816
z: -0.08622446
"
"x: -0.023641467
y: 0.039910484
z: 0.04928306
","x: -0.04397818
y: 0.03180593
z: 0.030224167
","x: -0.06493353
y: 0.018438943
z: -0.007501002
","x: -0.08797374
y: 0.0070421705
z: -0.026477586
","x: -0.014972188
y: -0.009487054
z: -0.002618172
","x: -0.0180089
y: -0.03931012
z: -0.009906229
","x: -0.018437114
y: -0.056341138
z: -0.020858556
","x: -0.014188246
y: -0.07317652
z: -0.050773386
","x: -0.00044461584
y: -0.0053497897
z: -0.0013389157
","x: 0.011334153
y: -0.023252873
z: -0.01871697
","x: 0.026744962
y: -0.03414163
z: -0.043889776
","x: 0.041717816
y: -0.041302204
z: -0.08291689
"
"x: -0.019597195
y: 0.040509526
z: 0.04954095
","x: -0.040602375
y: 0.033239726
z: 0.03064189
","x: -0.063606665
y: 0.023380503
z: -0.008137058
","x: -0.08731656
y: 0.013828041
z: -0.026782043
","x: -0.0146842245
y: -0.008548651
z: -0.0020520824
","x: -0.019289775
y: -0.038760122
z: -0.008603508
","x: -0.019043298
y: -0.056431185
z: -0.019475345
","x: -0.014306486
y: -0.07503585
z: -0.04626973
","x: -0.00052739115
y: -0.00477871
z: -0.0009510228
","x: 0.01196688
y: -0.024301823
z: -0.019441655
","x: 0.027127542
y: -0.033022385
z: -0.04234267
","x: 0.043481726
y: -0.042321656
z: -0.08104682
"
"x: -0.01943592
y: 0.04139198
z: 0.04768896
","x: -0.041706074
y: 0.03667726
z: 0.028744105
","x: -0.06517147
y: 0.027628573
z: -0.009827532
","x: -0.08889761
y: 0.02041353
z: -0.030301878
","x: -0.015246399
y: -0.008940376
z: -0.0017349178
","x: -0.02018044
y: -0.039594065
z: -0.007279655
","x: -0.020382587
y: -0.057121754
z: -0.01831536
","x: -0.015136324
y: -0.07482138
z: -0.045203034
","x: -0.0005587369
y: -0.0048886035
z: -0.0007757022
","x: 0.011205329
y: -0.025935287
z: -0.018335953
","x: 0.026790446
y: -0.034497116
z: -0.043285437
","x: 0.04208038
y: -0.044266865
z: -0.08341457
"
"x: -0.016885262
y: 0.03998361
z: 0.051408384
","x: -0.03753095
y: 0.036014866
z: 0.031537313
","x: -0.06114452
y: 0.029265083
z: -0.008740951
","x: -0.08480957
y: 0.02270975
z: -0.028954951
","x: -0.014946929
y: -0.008882531
z: -0.0024796894
","x: -0.020882737
y: -0.037930932
z: -0.008931308
","x: -0.020829722
y: -0.055355083
z: -0.01974785
","x: -0.0167006
y: -0.07315671
z: -0.04649827
","x: -0.00087646075
y: -0.004727473
z: -0.0012690208
","x: 0.011595919
y: -0.025843292
z: -0.018582817
","x: 0.026802696
y: -0.034446247
z: -0.042688712
","x: 0.0425664
y: -0.04344548
z: -0.082336605
"
"x: -0.014698782
y: 0.041774612
z: 0.04640307
","x: -0.03691876
y: 0.040553153
z: 0.028433435
","x: -0.06251287
y: 0.036819473
z: -0.00934927
","x: -0.086331815
y: 0.03469304
z: -0.029010342
","x: -0.014759354
y: -0.0076050907
z: -0.0027367598
","x: -0.021623835
y: -0.03571774
z: -0.007156005
","x: -0.022598144
y: -0.05322225
z: -0.016399415
","x: -0.018479394
y: -0.07336624
z: -0.04058022
","x: -0.001051975
y: -0.0042771986
z: -0.0009270598
","x: 0.009761239
y: -0.024620967
z: -0.018514963
","x: 0.026056929
y: -0.034315925
z: -0.04093024
","x: 0.04171133
y: -0.044740852
z: -0.0763566
"
"x: -0.014985494
y: 0.040270705
z: 0.04944446
","x: -0.036339093
y: 0.039198462
z: 0.029462378
","x: -0.060557682
y: 0.036649518
z: -0.010383728
","x: -0.08302213
y: 0.033992644
z: -0.031188697
","x: -0.015235023
y: -0.0071439077
z: -0.0026837874
","x: -0.021460446
y: -0.03635805
z: -0.008147824
","x: -0.022874745
y: -0.054060675
z: -0.017151034
","x: -0.018435875
y: -0.07343674
z: -0.040558625
","x: -0.0010447053
y: -0.0045145145
z: -0.0010373618
","x: 0.010318587
y: -0.026001232
z: -0.01818603
","x: 0.026607545
y: -0.03599928
z: -0.039745726
","x: 0.043170843
y: -0.048263993
z: -0.077205546
"
"x: -0.014442004
y: 0.03908532
z: 0.050039873
","x: -0.035890505
y: 0.03977784
z: 0.028500155
","x: -0.05971822
y: 0.039584745
z: -0.012819322
","x: -0.08273803
y: 0.03679663
z: -0.03184937
","x: -0.01473363
y: -0.006146822
z: -0.0037775084
","x: -0.021512812
y: -0.03360671
z: -0.008118309
","x: -0.02249889
y: -0.05236262
z: -0.017320137
","x: -0.017656296
y: -0.07180446
z: -0.040075626
","x: -0.0009342291
y: -0.0033494274
z: -0.0013044544
","x: 0.01073216
y: -0.0239792
z: -0.018904334
","x: 0.028307958
y: -0.034865398
z: -0.040838413
","x: 0.04521432
y: -0.04857498
z: -0.07910227
"
"x: -0.014502311
y: 0.038559616
z: 0.052345037
","x: -0.03680498
y: 0.038865764
z: 0.030699933
","x: -0.061164003
y: 0.038055368
z: -0.010067457
","x: -0.08510903
y: 0.034831405
z: -0.030752793
","x: -0.01466041
y: -0.006322173
z: -0.0039368477
","x: -0.021839218
y: -0.03376539
z: -0.0068092933
","x: -0.0226392
y: -0.053059604
z: -0.015726727
","x: -0.017140172
y: -0.07287121
z: -0.03786102
","x: -0.0008019818
y: -0.0035165343
z: -0.0015555773
","x: 0.009597002
y: -0.022996731
z: -0.01952613
","x: 0.027081795
y: -0.035064764
z: -0.040786304
","x: 0.044381123
y: -0.04981674
z: -0.07679796
"
"x: -0.015459872
y: 0.03982197
z: 0.05022629
","x: -0.037754085
y: 0.039994832
z: 0.029384747
","x: -0.062212538
y: 0.038772993
z: -0.011452702
","x: -0.08577728
y: 0.036299106
z: -0.032638352
","x: -0.015085266
y: -0.005833361
z: -0.003347226
","x: -0.022000298
y: -0.033974078
z: -0.006800411
","x: -0.023151515
y: -0.05444042
z: -0.015611536
","x: -0.018555313
y: -0.073385224
z: -0.038458046
","x: -0.00090842147
y: -0.0036145728
z: -0.001399033
","x: 0.010015704
y: -0.023641305
z: -0.019340817
","x: 0.027404066
y: -0.035210762
z: -0.0426119
","x: 0.042572144
y: -0.049367122
z: -0.07892282
"
"x: -0.015392793
y: 0.043819595
z: 0.044673637
","x: -0.038176015
y: 0.041294333
z: 0.02701663
","x: -0.06339361
y: 0.036059957
z: -0.009854393
","x: -0.088755734
y: 0.031426076
z: -0.02373625
","x: -0.015422738
y: -0.0069813207
z: -0.0021887685
","x: -0.026560055
y: -0.033858214
z: -0.008133391
","x: -0.030065043
y: -0.050031677
z: -0.017680284
","x: -0.030711927
y: -0.06571597
z: -0.04538245
","x: -0.0008448811
y: -0.0039952844
z: -0.0007799948
","x: 0.010733117
y: -0.027986363
z: -0.017065883
","x: 0.026620872
y: -0.041337136
z: -0.036531348
","x: 0.040017202
y: -0.056429315
z: -0.07007709
"
"x: -0.016925761
y: 0.044220153
z: 0.042800564
","x: -0.037993662
y: 0.04091837
z: 0.023847586
","x: -0.06369633
y: 0.03495746
z: -0.011343436
","x: -0.08907176
y: 0.029645065
z: -0.019428913
","x: -0.015694177
y: -0.0049925786
z: -0.0025494876
","x: -0.028357498
y: -0.030420788
z: -0.00958407
","x: -0.03216071
y: -0.045475774
z: -0.020778062
","x: -0.0336494
y: -0.057712805
z: -0.052178036
","x: -0.0010516116
y: -0.0039074733
z: -0.0005602644
","x: 0.011717232
y: -0.029216746
z: -0.014770183
","x: 0.02779687
y: -0.045371436
z: -0.033897787
","x: 0.04245904
y: -0.060476243
z: -0.068331346
"
"x: -0.01815998
y: 0.04369088
z: 0.04608583
","x: -0.03927778
y: 0.038320843
z: 0.024749039
","x: -0.0639127
y: 0.030352324
z: -0.009749451
","x: -0.08805322
y: 0.023809416
z: -0.018298423
","x: -0.01781287
y: -0.0037934459
z: -0.0023700215
","x: -0.02924326
y: -0.024966398
z: -0.012550287
","x: -0.03356168
y: -0.037865896
z: -0.025173876
","x: -0.037691843
y: -0.046468236
z: -0.05780374
","x: -0.0015211166
y: -0.0037484958
z: -0.0006825156
","x: 0.011140482
y: -0.028511746
z: -0.014278569
","x: 0.025826847
y: -0.046087854
z: -0.03383631
","x: 0.040252913
y: -0.061070126
z: -0.06953683
"
"x: -0.01885945
y: 0.04506573
z: 0.043347076
","x: -0.038842443
y: 0.03884748
z: 0.023054583
","x: -0.063141644
y: 0.030385692
z: -0.009977777
","x: -0.088580966
y: 0.023095172
z: -0.018593013
","x: -0.01848814
y: -0.0023884685
z: -0.0026135345
","x: -0.029727383
y: -0.021363964
z: -0.012838881
","x: -0.03463393
y: -0.033699896
z: -0.025105203
","x: -0.039173998
y: -0.039739504
z: -0.05655294
","x: -0.0014646976
y: -0.002992722
z: -0.0009506934
","x: 0.010016393
y: -0.027687903
z: -0.013960334
","x: 0.023340987
y: -0.047094695
z: -0.032109957
","x: 0.035372164
y: -0.06146137
z: -0.06547341
"
"x: -0.019276127
y: 0.045192238
z: 0.04334198
","x: -0.039999273
y: 0.03796859
z: 0.023914043
","x: -0.06357327
y: 0.028663723
z: -0.0066256523
","x: -0.08803815
y: 0.020938475
z: -0.015033807
","x: -0.017888114
y: -0.0034657333
z: -0.0017600564
","x: -0.030300371
y: -0.021446362
z: -0.012196702
","x: -0.0374062
y: -0.03168182
z: -0.026481077
","x: -0.044490922
y: -0.034326322
z: -0.058434818
","x: -0.0009773679
y: -0.003503522
z: -0.00040792863
","x: 0.010358882
y: -0.028988974
z: -0.01165504
","x: 0.022859562
y: -0.047723185
z: -0.028969806
","x: 0.033473805
y: -0.06182178
z: -0.061790224
"
"x: -0.018344818
y: 0.04617103
z: 0.044220887
","x: -0.03899916
y: 0.038419884
z: 0.025454752
","x: -0.06303967
y: 0.027166618
z: -0.0058041406
","x: -0.08820629
y: 0.018975347
z: -0.01379289
","x: -0.017550379
y: -0.00401197
z: -0.0007483168
","x: -0.029777993
y: -0.022885103
z: -0.01054113
","x: -0.037206
y: -0.0341526
z: -0.023709364
","x: -0.044816133
y: -0.03911859
z: -0.05460577
","x: -0.0009185909
y: -0.0034949924
z: -0.00063122745
","x: 0.010755067
y: -0.028654318
z: -0.011323695
","x: 0.024103187
y: -0.047058392
z: -0.02835612
","x: 0.03491533
y: -0.061526615
z: -0.06130953
"
"x: -0.01904811
y: 0.04646149
z: 0.040743433
","x: -0.03919672
y: 0.039215144
z: 0.021852748
","x: -0.06338745
y: 0.028283115
z: -0.009147382
","x: -0.08786889
y: 0.020420475
z: -0.0151748555
","x: -0.017916128
y: -0.003313824
z: -0.0016269722
","x: -0.029998008
y: -0.024564486
z: -0.009676218
","x: -0.03593573
y: -0.037695557
z: -0.02150255
","x: -0.04206649
y: -0.045580734
z: -0.052517395
","x: -0.0011643457
y: -0.003188636
z: -0.00036555575
","x: 0.01019157
y: -0.029146103
z: -0.01242504
","x: 0.023680339
y: -0.048394587
z: -0.028592622
","x: 0.036197267
y: -0.06413733
z: -0.061614912
"
"x: -0.019444946
y: 0.046850197
z: 0.0429011
","x: -0.039268076
y: 0.039116785
z: 0.023278316
","x: -0.06404241
y: 0.02793092
z: -0.0078036226
","x: -0.08965076
y: 0.019637214
z: -0.015333872
","x: -0.017530408
y: -0.004745828
z: -0.0020045098
","x: -0.02934586
y: -0.026376832
z: -0.01098089
","x: -0.033919215
y: -0.040373623
z: -0.022843579
","x: -0.03814395
y: -0.050766397
z: -0.053770944
","x: -0.0014578438
y: -0.003969872
z: -0.0006497806
","x: 0.009796706
y: -0.029188562
z: -0.013487797
","x: 0.02433007
y: -0.04685119
z: -0.03091452
","x: 0.037841637
y: -0.062469017
z: -0.063605
"
"x: -0.021617271
y: 0.04535988
z: 0.03886557
","x: -0.041411035
y: 0.039288457
z: 0.019754773
","x: -0.062804066
y: 0.029908529
z: -0.013619151
","x: -0.08658045
y: 0.023482537
z: -0.02193114
","x: -0.016953724
y: -0.0038028664
z: -0.0037971614
","x: -0.02446937
y: -0.024287716
z: -0.013248904
","x: -0.026118891
y: -0.034064546
z: -0.028603047
","x: -0.025701607
y: -0.037338104
z: -0.06136923
","x: -0.00068829465
y: -0.0033429472
z: -0.000299916
","x: 0.012147073
y: -0.026604231
z: -0.013437028
","x: 0.02604542
y: -0.04459141
z: -0.03505328
","x: 0.038828656
y: -0.055647656
z: -0.07078795
"
"x: -0.020100363
y: 0.043543257
z: 0.042223267
","x: -0.040777348
y: 0.037396137
z: 0.02215498
","x: -0.063998744
y: 0.029461669
z: -0.012712443
","x: -0.08694569
y: 0.023114232
z: -0.023854436
","x: -0.017671779
y: -0.0032473756
z: -0.0038416125
","x: -0.024988012
y: -0.0240085
z: -0.014457681
","x: -0.026415687
y: -0.03398682
z: -0.03052813
","x: -0.025690816
y: -0.036150448
z: -0.06356231
","x: -0.0010446595
y: -0.003085567
z: -0.00080776936
","x: 0.011787964
y: -0.027069483
z: -0.0147615215
","x: 0.025488414
y: -0.04492702
z: -0.03688587
","x: 0.038719714
y: -0.05698403
z: -0.0735923
"
"x: -0.01954762
y: 0.0444978
z: 0.042327452
","x: -0.041563217
y: 0.038843162
z: 0.021885773
","x: -0.06522549
y: 0.031305987
z: -0.014015288
","x: -0.0897862
y: 0.026110219
z: -0.02573257
","x: -0.017845782
y: -0.0037290999
z: -0.005410719
","x: -0.025055923
y: -0.024931045
z: -0.016025709
","x: -0.026062474
y: -0.035113145
z: -0.03312535
","x: -0.023439862
y: -0.036412735
z: -0.06593935
","x: -0.0013899147
y: -0.0031359089
z: -0.0012253334
","x: 0.010962747
y: -0.025522485
z: -0.015326445
","x: 0.02606649
y: -0.043377336
z: -0.039959278
","x: 0.039724097
y: -0.053694744
z: -0.07575473
"
"x: -0.02023027
y: 0.045707025
z: 0.041286767
","x: -0.041170917
y: 0.039410282
z: 0.02163172
","x: -0.064123556
y: 0.031245664
z: -0.014036859
","x: -0.087318726
y: 0.024673421
z: -0.026073076
","x: -0.01674823
y: -0.00403571
z: -0.0035935808
","x: -0.024335425
y: -0.026824536
z: -0.013175877
","x: -0.025418699
y: -0.03617828
z: -0.030390922
","x: -0.024821656
y: -0.03787256
z: -0.063919246
","x: -0.0009059775
y: -0.0034138358
z: -0.00043890238
","x: 0.011491469
y: -0.027196715
z: -0.014986175
","x: 0.02531562
y: -0.043626465
z: -0.037279956
","x: 0.03814074
y: -0.054966472
z: -0.07327044
"
"x: -0.019476194
y: 0.04506086
z: 0.04224809
","x: -0.040215503
y: 0.039984412
z: 0.024261262
","x: -0.064986065
y: 0.0316716
z: -0.010667982
","x: -0.089492284
y: 0.025666896
z: -0.022580272
","x: -0.016822636
y: -0.003997951
z: -0.003437754
","x: -0.025090702
y: -0.025267676
z: -0.01334113
","x: -0.026268862
y: -0.035696387
z: -0.029085109
","x: -0.026692316
y: -0.038794655
z: -0.061936628
","x: -0.0008702464
y: -0.0033395807
z: -0.000649978
","x: 0.011216567
y: -0.0271617
z: -0.0149785895
","x: 0.025797972
y: -0.043803122
z: -0.037487816
","x: 0.03725162
y: -0.054612517
z: -0.07302642
"
"x: -0.02073607
y: 0.043276597
z: 0.04271236
","x: -0.041173793
y: 0.039250545
z: 0.023083922
","x: -0.065766156
y: 0.031593055
z: -0.012133729
","x: -0.09001512
y: 0.026229927
z: -0.02151458
","x: -0.01655141
y: -0.0051115276
z: -0.0031990279
","x: -0.025553029
y: -0.029665966
z: -0.011196103
","x: -0.028300894
y: -0.044067133
z: -0.022678852
","x: -0.028447192
y: -0.05602735
z: -0.054172482
","x: -0.0011160265
y: -0.003886866
z: -0.00089758297
","x: 0.011022629
y: -0.027619617
z: -0.015582188
","x: 0.02586505
y: -0.04430528
z: -0.036623724
","x: 0.039526835
y: -0.05847935
z: -0.07218071
"
