F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.029824331
y: 0.038375385
z: 0.04572598
","x: -0.042634044
y: 0.019802533
z: 0.029127281
","x: -0.056605984
y: -0.0029783295
z: -0.0022168
","x: -0.06634115
y: -0.027981931
z: -0.016872954
","x: -0.015463032
y: -0.0105502885
z: -7.085503e-05
","x: -0.013481251
y: -0.039540075
z: -0.009296646
","x: -0.011533903
y: -0.061659984
z: -0.018466646
","x: -0.008953685
y: -0.07950189
z: -0.04290185
","x: 0.00068863266
y: -0.0039673084
z: -0.0010632761
","x: 0.009735947
y: -0.022142986
z: -0.021057883
","x: 0.020616483
y: -0.03793242
z: -0.043337345
","x: 0.032563865
y: -0.05305088
z: -0.07929583
"
"x: 0.01432523
y: 0.0531101
z: 0.034153886
","x: 0.028057648
y: 0.0285264
z: 0.025671812
","x: 0.03131908
y: 0.0017234304
z: 0.0087813
","x: 0.02496647
y: -0.015915552
z: -0.002645867
","x: 0.011160648
y: -0.00635279
z: -0.003786942
","x: 0.020359498
y: -0.025548963
z: -0.0034763624
","x: 0.034399502
y: -0.040137943
z: 0.00046191763
","x: 0.05232196
y: -0.043655705
z: 0.0090640625
","x: 0.00012721005
y: -0.0034197571
z: -0.0049003847
","x: 0.022520961
y: -0.019586831
z: 0.00589198
","x: 0.04455004
y: -0.020408865
z: 0.020594181
","x: 0.059525356
y: -0.01223636
z: 0.037858654
"
"x: -0.03140347
y: 0.03732069
z: 0.046275828
","x: -0.044769507
y: 0.01787604
z: 0.028129803
","x: -0.05736016
y: -0.004571895
z: -0.004138358
","x: -0.066032276
y: -0.031513765
z: -0.018379832
","x: -0.0141645465
y: -0.011459822
z: -0.0007530848
","x: -0.01102375
y: -0.041682176
z: -0.0076120417
","x: -0.009143213
y: -0.06483735
z: -0.015265959
","x: -0.005771838
y: -0.08169078
z: -0.037402187
","x: 0.0015464707
y: -0.0044416334
z: -0.0011072732
","x: 0.008475733
y: -0.02311445
z: -0.020038273
","x: 0.018496946
y: -0.037833244
z: -0.040633973
","x: 0.029058117
y: -0.05401119
z: -0.075775445
"
"x: -0.029043533
y: 0.041793317
z: 0.04287941
","x: -0.04251547
y: 0.021204019
z: 0.027667206
","x: -0.057187475
y: -0.0035781171
z: -0.0011888293
","x: -0.06703221
y: -0.030369528
z: -0.012045646
","x: -0.01598098
y: -0.01041612
z: -0.0010201628
","x: -0.013988463
y: -0.040337376
z: -0.008511504
","x: -0.012709638
y: -0.061616108
z: -0.017240588
","x: -0.00960567
y: -0.0794872
z: -0.04270106
","x: 0.00082959374
y: -0.004562898
z: -0.0009114425
","x: 0.007938863
y: -0.022832237
z: -0.020840961
","x: 0.01763074
y: -0.03831961
z: -0.0426085
","x: 0.03001877
y: -0.0527417
z: -0.07973416
"
"x: -0.030277139
y: 0.038009714
z: 0.04272621
","x: -0.04386659
y: 0.017305091
z: 0.026603047
","x: -0.05759611
y: -0.0056670397
z: -0.0017996868
","x: -0.06699091
y: -0.03198888
z: -0.014573978
","x: -0.015037559
y: -0.011502458
z: 0.00030821774
","x: -0.011325491
y: -0.04052136
z: -0.007099542
","x: -0.010392339
y: -0.06401612
z: -0.014344041
","x: -0.007100867
y: -0.08193723
z: -0.03639723
","x: 0.0010974662
y: -0.0045351135
z: -0.0008952272
","x: 0.0071049463
y: -0.020941362
z: -0.019325063
","x: 0.017856605
y: -0.036037765
z: -0.040103346
","x: 0.029348329
y: -0.05317063
z: -0.073689744
"
"x: -0.02983575
y: 0.041351788
z: 0.04128923
","x: -0.043500695
y: 0.019903501
z: 0.024300193
","x: -0.056344338
y: -0.0029771384
z: -0.00580466
","x: -0.06463144
y: -0.029485561
z: -0.015986836
","x: -0.015668254
y: -0.010033213
z: -0.001011325
","x: -0.01166325
y: -0.040265888
z: -0.007957316
","x: -0.009162016
y: -0.06386213
z: -0.014374927
","x: -0.005101977
y: -0.0818967
z: -0.037623756
","x: 0.0011853795
y: -0.004540266
z: -0.0010509825
","x: 0.00827889
y: -0.021359166
z: -0.020164642
","x: 0.019204773
y: -0.03608869
z: -0.040951833
","x: 0.032740235
y: -0.05196677
z: -0.0767594
"
"x: 0.0031179087
y: 0.051288687
z: 0.040643133
","x: 0.018447533
y: 0.028269928
z: 0.03040127
","x: 0.023641013
y: 0.00035885535
z: 0.009582378
","x: 0.018406104
y: -0.017168
z: -0.009139812
","x: 0.015005421
y: -0.0020221174
z: 0.001072027
","x: 0.029947238
y: -0.018467963
z: 0.0011499277
","x: 0.04592208
y: -0.029492259
z: 0.008059017
","x: 0.063643634
y: -0.03340166
z: 0.017145026
","x: 0.0014426102
y: -0.0036116613
z: -0.0038930492
","x: 0.021129698
y: -0.022630606
z: 0.0037567758
","x: 0.038757212
y: -0.022093147
z: 0.016531063
","x: 0.0506149
y: -0.0142096
z: 0.029076245
"
"x: -0.03155486
y: 0.037071068
z: 0.043292645
","x: -0.044498906
y: 0.017090503
z: 0.02391096
","x: -0.05632145
y: -0.0054106303
z: -0.0052631013
","x: -0.06491565
y: -0.032609247
z: -0.015341748
","x: -0.014208201
y: -0.0108080795
z: -0.0018634482
","x: -0.010568541
y: -0.04099174
z: -0.007776059
","x: -0.008953705
y: -0.06428288
z: -0.014807035
","x: -0.004590871
y: -0.08100115
z: -0.03643146
","x: 0.0012365042
y: -0.0044539827
z: -0.0011924119
","x: 0.009570686
y: -0.021075342
z: -0.01853364
","x: 0.02036006
y: -0.035560682
z: -0.0402485
","x: 0.033914275
y: -0.04980044
z: -0.07711613
"
"x: -0.03058906
y: 0.03625877
z: 0.047088355
","x: -0.044117473
y: 0.018306788
z: 0.026858099
","x: -0.055028256
y: -0.0043772245
z: -0.005211555
","x: -0.064833984
y: -0.031019814
z: -0.015955416
","x: -0.015555455
y: -0.01002365
z: -0.0034772542
","x: -0.011158047
y: -0.03904758
z: -0.010829919
","x: -0.009585639
y: -0.062006094
z: -0.020039456
","x: -0.0058231987
y: -0.079123676
z: -0.044272713
","x: 0.0011483014
y: -0.0040852744
z: -0.0018547989
","x: 0.010604835
y: -0.022149967
z: -0.020681577
","x: 0.021140499
y: -0.036266245
z: -0.043260235
","x: 0.03504566
y: -0.04851678
z: -0.083695084
"
"x: -0.032385863
y: 0.036092088
z: 0.043732993
","x: -0.04605949
y: 0.017238583
z: 0.027903793
","x: -0.055463914
y: -0.0070893215
z: -0.002547594
","x: -0.06502288
y: -0.03482455
z: -0.011968924
","x: -0.015211977
y: -0.009982465
z: -0.0025562602
","x: -0.010744265
y: -0.039748285
z: -0.008879812
","x: -0.009521306
y: -0.06202288
z: -0.016570818
","x: -0.0042128544
y: -0.078931786
z: -0.039876554
","x: 0.0012221363
y: -0.0036885608
z: -0.0014074702
","x: 0.012497458
y: -0.02271213
z: -0.019439405
","x: 0.025708955
y: -0.037002113
z: -0.038182
","x: 0.04199926
y: -0.050209828
z: -0.07601167
"
